assessmentId,partner,product,recipient,period,industry,grade,sectionName,subsectionName,questionNumber,questionText,answerType,answer,answerOptions,parentQuestion,followupTrigger,evaluationGrade,evaluationScore,evaluationComment
110736,AT&T Technologies,Global Fund X,janet@att.com,2024,IT,90,Modern Slavery and Similar Workplace Risks within Your Organization,Corporate Compliance Management,1.1.1,"Is your organization currently aware of any slavery, servitude, forced or compulsory labor, and/or human trafficking in any part of the organization’s business (including all sites, facilities, or operational locations) operations or supply chain (including all suppliers)?",Open,"Lorem ipsum odor amet, consectetuer adipiscing elit.",,,,,,
110736,AT&T Technologies,Global Fund X,janet@att.com,2024,IT,90,Modern Slavery and Similar Workplace Risks within Your Organization,Corporate Compliance Management,1.1.2,"Have there been instances of suspected slavery, servitude, forced or compulsory labor, and/or human trafficking in any part of your organization’s business operations (including all sites, facilities, or operational locations) or supply chain (including all suppliers) in the past 24 months?",Open,Dapibus sem quis dui facilisis congue vivamus? Taciti torquent felis vulputate sodales eros mattis proin vivamus neque.,,,,,,
110736,AT&T Technologies,Global Fund X,janet@att.com,2024,IT,90,Modern Slavery and Similar Workplace Risks within Your Organization,Corporate Compliance Management,1.1.3,"Has your organization or any of its key officers and directors ever been sued in any court in any country or the subject of any administrative or regulatory investigative action in any country for the alleged use of forced labor or human trafficking in any of its sites, facilities, or operational locations?",Open,Habitant luctus morbi vestibulum parturient erat potenti sed netus purus.,,,,,,
110736,AT&T Technologies,Global Fund X,janet@att.com,2024,IT,90,Modern Slavery and Similar Workplace Risks within Your Organization,Corporate Compliance Management,1.1.4,"Does your organization currently have any operations or workers, whether employees or contract workers, in the following countries: North Korea Eritrea Burundi Central African Republic Afghanistan Mauritania South Sudan Pakistan Cambodia Iran",Open,Dapibus suscipit magnis enim nisi quisque.,,,,,,
110736,AT&T Technologies,Global Fund X,janet@att.com,2024,IT,90,Modern Slavery and Similar Workplace Risks within Your Organization,Corporate Compliance Management,1.1.5,"Did your organization have any operations or workers, whether employees or contract workers, in any of the following 10 Countries in the past 24 months? North Korea Eritrea Burundi Central African Republic Afghanistan Mauritania South Sudan Pakistan Cambodia Iran",Open,Pellentesque ultricies blandit auctor sem tristique ipsum sociosqu laoreet.,,,,,,
110736,AT&T Technologies,Global Fund X,janet@att.com,2024,IT,90,Modern Slavery and Similar Workplace Risks within Your Organization,Corporate Compliance Management,1.1.6,"Does your organization have any operations or workers, whether employees or contract workers, in any of the countries where the risks of modern slavery and human trafficking are high? See the attached reference file for the list of countries",Open,Aliquam fusce lorem erat malesuada massa habitasse dis vestibulum.,,,,,,
110736,AT&T Technologies,Global Fund X,janet@att.com,2024,IT,90,Modern Slavery and Similar Workplace Risks within Your Organization,Corporate Compliance Management,1.1.7,"Did your organization have any operations or workers, whether employees or contract workers, in the past 24 months in any of the countries where the risks of modern slavery and human trafficking are high? See the attached reference file for the list of countries",Open,Vitae himenaeos quisque vestibulum cursus sed ut viverra.,,,,,,
110736,AT&T Technologies,Global Fund X,janet@att.com,2024,IT,90,Modern Slavery and Similar Workplace Risks within Your Organization,Corporate Compliance Management,1.1.8,"In the past 24 months, has your organization used migrant workers, whether as employees or contract workers and whether on a permanent or seasonal basis, in any of its business operations?",Open,Conubia feugiat aptent pellentesque id feugiat nibh penatibus.,,,,,,
110736,AT&T Technologies,Global Fund X,janet@att.com,2024,IT,90,Modern Slavery and Similar Workplace Risks within Your Organization,Corporate Compliance Management,1.1.9,Has your organization adopted an anti-slavery and anti-human trafficking transparency statement?,Open,Curabitur vehicula lacus et metus rutrum fusce elit imperdiet.,,,,,,
110736,AT&T Technologies,Global Fund X,janet@att.com,2024,IT,90,Modern Slavery and Similar Workplace Risks within Your Organization,Corporate Compliance Management,1.1.10,"Does your organization have a written policy, a separate policy or included in an ethical trading policy or Code of Conduct, in place that prohibits modern slavery, including all forms of forced labor, bonded labor, child labor, and human trafficking, in its operations and those of its suppliers?",Open,Cras facilisis sed nunc orci adipiscing duis nam.,,,,,,
